0,0,0,5,0,0,0,0,0,0,0.15
0.005,0,0,5,0,0,0,0.00015,0,0.0004,0.15
0.01,0,0,5,-1.5059e-05,-1.9647e-05,0,0.0003,0,0.0008,0.15
0.015,-1.5059e-08,-1.9647e-08,5,-4.4143e-05,-5.7412e-05,0,0.00045,0,0.0012,0.15
0.02,-5.93e-08,-7.7059e-08,5,-8.6291e-05,-0.00011189,0,0.0006,0,0.0016,0.15
0.025,-1.4598e-07,-1.8895e-07,5,-0.00014061,-0.00018177,0,0.00074999,0,0.002,0.14999
0.03,-2.8753e-07,-3.7071e-07,5,-0.00020626,-0.00026586,0,0.00089998,0,0.0024,0.14999
0.035,-4.9564e-07,-6.3658e-07,5,-0.00028247,-0.00036306,0,0.00105,0,0.0028,0.14999
0.04,-7.8129e-07,-9.9963e-07,5,-0.00036852,-0.00047234,0,0.0012,0,0.0032,0.14998
0.045,-1.1548e-06,-1.472e-06,5,-0.00046373,-0.00059276,0,0.0013499,0,0.0036,0.14998
0.05,-1.6259e-06,-2.0647e-06,5,-0.00056749,-0.00072346,0,0.0014999,0,0.0039999,0.14997
0.055,-2.2037e-06,-2.7882e-06,5,-0.00067921,-0.00086364,0,0.0016499,0,0.0043999,0.14996
0.06,-2.8969e-06,-3.6518e-06,5,-0.00079834,-0.0010126,0,0.0017998,0,0.0047999,0.14996
0.065,-3.7135e-06,-4.6644e-06,5,-0.00092438,-0.0011695,0,0.0019498,0,0.0051999,0.14995
0.07,-4.6612e-06,-5.8339e-06,5,-0.0010569,-0.0013339,0,0.0020998,0,0.0055998,0.14994
0.075,-5.7472e-06,-7.1678e-06,5,-0.0011954,-0.0015052,0,0.0022497,0,0.0059998,0.14993
0.08,-6.9784e-06,-8.673e-06,5,-0.0013394,-0.0016827,0,0.0023996,0,0.0063997,0.14992
0.085,-8.3612e-06,-1.0356e-05,5.0001,-0.0014887,-0.0018661,0,0.0025496,0,0.0067997,0.14991
0.09,-9.9017e-06,-1.2222e-05,5.0001,-0.0016429,-0.0020549,0,0.0026995,0,0.0071996,0.1499
0.095,-1.1606e-05,-1.4277e-05,5.0001,-0.0018016,-0.0022486,0,0.0028494,0,0.0075995,0.14989
0.1,-1.3479e-05,-1.6525e-05,5.0001,-0.0019645,-0.0024469,0,0.0029993,0,0.0079995,0.14988
0.105,-1.5526e-05,-1.8972e-05,5.0001,-0.0021314,-0.0026494,0,0.0031491,0,0.0083994,0.14987
0.11,-1.7752e-05,-2.1622e-05,5.0001,-0.0023019,-0.0028558,0,0.003299,0,0.0087993,0.14985
0.115,-2.0162e-05,-2.4478e-05,5.0001,-0.0024758,-0.0030657,0,0.0034489,0,0.0091992,0.14984
