0.23001,-0.00026983,-0.00026112,5.0004,-6.0806e-07,-0.00026112,0,0.0068906,0,0.018394,0.14937
0.23501,-0.00028226,-0.00027271,5.0004,-6.4902e-07,-0.00027271,0,0.00704,0,0.018793,0.14934
0.24001,-0.000295,-0.00028456,5.0005,-6.9177e-07,-0.00028456,0,0.0071893,0,0.019193,0.14931
0.24501,-0.00030804,-0.00029666,5.0005,-7.3635e-07,-0.00029666,0,0.0073386,0,0.019592,0.14928
0.25001,-0.00032138,-0.00030901,5.0005,-7.8281e-07,-0.00030901,0,0.0074879,0,0.019992,0.14925
0.25501,-0.00033503,-0.00032162,5.0005,-8.3118e-07,-0.00032162,0,0.0076371,0,0.020391,0.14922
0.26001,-0.00034898,-0.00033447,5.0005,-8.815e-07,-0.00033447,0,0.0077863,0,0.020791,0.14919
0.26501,-0.00036323,-0.00034758,5.0006,-9.3381e-07,-0.00034758,0,0.0079355,0,0.02119,0.14916
0.27001,-0.00037779,-0.00036093,5.0006,-9.8815e-07,-0.00036093,0,0.0080847,0,0.02159,0.14913
0.27501,-0.00039266,-0.00037454,5.0006,-1.0445e-06,-0.00037454,0,0.0082338,0,0.021989,0.14909
0.28001,-0.00040784,-0.0003884,5.0006,-1.1031e-06,-0.0003884,0,0.0083829,0,0.022388,0.14906
0.28501,-0.00042332,-0.00040251,5.0006,-1.1637e-06,-0.00040251,0,0.008532,0,0.022788,0.14903
0.29001,-0.00043912,-0.00041687,5.0007,-1.2265e-06,-0.00041687,0,0.008681,0,0.023187,0.14899
0.29501,-0.00045524,-0.00043148,5.0007,-1.2916e-06,-0.00043148,0,0.00883,0,0.023586,0.14896
0.30001,-0.00047166,-0.00044635,5.0007,-1.3589e-06,-0.00044635,0,0.008979,0,0.023986,0.14892
0.30501,-0.0004884,-0.00046146,5.0007,-1.4285e-06,-0.00046146,0,0.0091279,0,0.024385,0.14889
0.31001,-0.00050546,-0.00047682,5.0008,-1.5004e-06,-0.00047682,0,0.0092768,0,0.024784,0.14885
0.31502,-0.00052283,-0.00049244,5.0008,-1.5747e-06,-0.00049244,0,0.0094256,0,0.025183,0.14881
